,lat,lon,diam,radius
6605,8.851618,-55.791865,23.151528,11.575764 Kilometer
6609,12.911012,-37.379862,23.142378,11.571189 Kilometer
6648,35.019194,-37.7181,23.012722,11.506361 Kilometer
6652,22.511752,-55.633353,23.003768,11.501884 Kilometer
6691,-7.494969,-23.829628,22.877811,11.4389055 Kilometer
6709,20.560943,-64.411305,22.817145,11.4085725 Kilometer
6724,31.238419,-32.965129,22.784244,11.392122 Kilometer
6791,-6.514188,-71.962532,22.558735,11.2793675 Kilometer
6792,18.552442,-40.491263,22.557902,11.278951 Kilometer
6811,23.793892,-66.657649,22.501416,11.250708 Kilometer
6822,14.994019,-58.944011,22.454252,11.227126 Kilometer
6848,9.627027,-59.154246,22.37964,11.18982 Kilometer
