OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
189,1,189,1,23.206868,-50.485661,45.575618,22.787809 Kilometer,22787.809,188,1075,23.067,-50.236,4.956,3.512307416,0.978932012
190,1,190,1,25.589246,-64.537432,45.496491,22.7482455 Kilometer,22748.2455,189,1060,25.374,-64.311,74.153,3.541782223,0.994112687
191,0,191,1,7.836946,-68.186925,45.47772,22.73886 Kilometer,22738.86,190,,,,,3.371336492,0.904308151
192,0,192,1,31.231455,-57.504548,45.107423,22.5537115 Kilometer,22553.7115,191,,,,,3.615731968,1.030705908
193,1,193,1,35.821777,-45.441388,45.09889,22.549445 Kilometer,22549.445,192,1078,35.842,-45.235,45.226,3.725844863,1.086530275
194,1,194,1,6.107073,-62.385661,45.004135,22.5020675 Kilometer,22502.0675,193,1061,6.275,-62.437,4.839,3.330040082,0.882308064
195,0,195,1,21.443277,-48.722857,44.539104,22.269552 Kilometer,22269.552,194,,,,,3.409536785,0.923163287
196,0,196,1,1.377051,-54.925327,44.538548,22.269274 Kilometer,22269.274,195,,,,,3.286675644,0.859487275
197,0,197,1,4.678984,-62.432177,44.410666,22.205333 Kilometer,22205.333,196,,,,,3.282246182,0.857168587
198,0,198,1,6.511114,-56.062825,44.399642,22.199821 Kilometer,22199.821,197,,,,,3.28659463,0.85943138
199,0,199,1,-11.061809,-44.308844,44.364076,22.182038 Kilometer,22182.038,198,,,,,3.304381676,0.868656241
200,0,200,1,-6.050054,-64.458697,44.320557,22.1602785 Kilometer,22160.2785,199,,,,,3.279278133,0.855610884
201,0,201,1,12.976956,-41.275163,43.784158,21.892079 Kilometer,21892.079,200,,,,,3.273005402,0.852134861
202,0,202,1,16.427386,-73.535256,43.706811,21.8534055 Kilometer,21853.4055,201,,,,,3.293807203,0.862655327
203,1,203,1,22.551359,-37.547235,43.496609,21.7483045 Kilometer,21748.3045,202,8179,22.782,-37.52,7.784,3.34349854,0.887352041
